Tytuł,Link,Źródło
Świadczenie usług utrzymania czystości i porządku w pomieszczeniach biurowych na obszarze działania PKP Polskie Linie Kolejowe S.A. Zakładu Linii Kolejowych w Łodzi,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34011/details,PKP
"Świadczenie usług w zakresie awaryjnych napraw uszkodzonych elektronicznych urządzeń i podzespołów do systemów SSP, SOT, EON, urządzeń zasilających, przetwornic, przetwornic sygnałowych, wkładek blokowych, prostowników oraz innych elementów elektronicznych wg. wykazu stanowiącego załącznik Nr 1, zainstalowanych na terenie działania Zakładu Linii Kolejowych w Nowym Sączu",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34002/details,PKP
Świadczenie usług prawnych dla Zakładu Linii Kolejowych w Ostrowie Wielkopolskim,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34052/details,PKP
Świadczenie usług utrzymania urządzeń radiołączności kolejowej w latach 2025-2026,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34001/details,PKP
"Świadczenie usług utrzymania czystości i porządku w budynku wielofunkcyjnym w Warszawie, stacja Warszawa Zachodnia, ul. Tunelowa 8",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33987/details,PKP
Wykonanie usług konserwacji oraz napraw żurawia samochodowego typu HMF zabudowanego na samochodzie ciężarowym MAN TGL12.180 o nr rej. KR212FA wraz z przygotowaniem do corocznego badania technicznego w latach 2025 do 2027,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33980/details,PKP
Zaprojektowanie i wykonanie robót budowlanych dla zadania pn.: Prace na linii kolejowej nr 1 na odcinku: Koluszki - Częstochowa realizowanego w ramach projektu „Prace na linii kolejowej nr 1 na odcinkach: Koluszki – Częstochowa oraz Zawiercie – Dąbrowa Górnicza”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33984/details,PKP
"Świadczenie usług polegających na montażu, rozbudowie i naprawie urządzeń systemu alarmowego i monitorowania CCTV na terenie działania PKP Polskich Linii Kolejowych S.A. Zakładu Linii Kolejowych w Tarnowskich Górach zgodnie z zapotrzebowaniem Zamawiającego",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33966/details,PKP
Opracowanie dokumentacji projektowej dla realizacji budowy nowych podstacji trakcyjnych Tymbark i Fornale w ramach Projektu pn.: „Budowa nowej linii kolejowej Podłęże – Szczyrzyc –Tymbark/Mszana Dolna oraz modernizacja istniejącej linii kolejowej nr 104 Chabówka – Nowy Sącz - Etap II”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33948/details,PKP
Opracowanie dokumentacji projektowej dla realizacji budowy nowej podstacji trakcyjnej Marszowice i nowej kabiny sekcyjnej Surówki w ramach Projektu pn.: „Budowa nowej linii kolejowej Podłęże – Szczyrzyc –Tymbark/Mszana Dolna oraz modernizacja istniejącej linii kolejowej nr 104 Chabówka – Nowy Sącz - Etap II”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33945/details,PKP
Opracowanie dokumentacji projektowej dla realizacji budowy nowej podstacji trakcyjnej Janowice i nowej kabiny sekcyjnej Sawa w ramach Projektu pn.: „Budowa nowej linii kolejowej Podłęże – Szczyrzyc –Tymbark/Mszana Dolna oraz modernizacja istniejącej linii kolejowej nr 104 Chabówka – Nowy Sącz - Etap II”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33942/details,PKP
Wynajem długoterminowy max. 63 szt. samochodów osobowych wraz z usługą serwisowania dla potrzeb jednostek organizacyjnych Spółki,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33990/details,PKP
Budowa miejsc parkingowych przy przystanku Zabieżki na linii kolejowej nr 7 w ramach „Rządowego programu budowy lub modernizacji przystanków kolejowych na lata 2021-2025”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33973/details,PKP
Naprawy i konserwacje schodów ruchomych zabudowanych na stacji Katowice w latach 2025-2027,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33964/details,PKP
Budowa miejsc parkingowych przy przystanku Stara Wieś na linii kolejowej nr 7 w ramach „Rządowego programu budowy lub modernizacji przystanków kolejowych na lata 2021-2025”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33959/details,PKP
„Świadczenie usług odbioru segregowanych odpadów komunalnych z terenu działania PKP Polskie Linie Kolejowe S.A. Zakład Linii Kolejowych w Zielonej Górze”.,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34051/details,PKP
Analiza możliwości technicznych i lokalizacyjnych zabudowy instalacji OZE.,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33904/details,PKP
Świadczenie usług pocztowych w obrocie krajowym i zagranicznym dla Spółek Grupy Zakupowej PKP,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33855/details,PKP
Zarządzanie i sprawowanie nadzoru nad realizacją zadań inwestycyjnych w ramach przedsięwzięcia pn. „Poprawa bezpieczeństwa na przejazdach kolejowych - etap VII” realizowanego w ramach Krajowego Planu Odbudowy i Zwiększania Odporności (KPO).,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33780/details,PKP
"„Wykonanie robót dla zadania pn.: „Budowa drugiego toru kolejowego wraz z drugą przeprawą mostową na rzece Warcie na odcinku linii kolejowej nr 354 od posterunku odgałęźnego Oborniki Wielkopolskie Most do stacji Oborniki Wielkopolskie"" realizowanego w ramach Krajowego Planu Odbudowy o Zwiększenia Odporności""",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33785/details,PKP
Zaprojektowanie i wykonanie robót dla zadania pn. „Prace na przystanku Warszawa Ursus Północny na linii kolejowej nr 3” w ramach Projektu „Poprawa infrastruktury pasażerskiej na wybranych obiektach aglomeracji warszawskiej poprzez modernizację peronów oraz zabudowę Systemu Dynamicznej Informacji Pasażerskiej”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33773/details,PKP
"Utrzymanie i serwis technicznych środków ochrony, opracowanie i uzgodnienie planów ochrony oraz świadczenie usług ochrony mienia PKP Polskie Linie Kolejowe S.A.",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33745/details,PKP
Zaprojektowanie (w zakresie branży SRK i telekomunikacja) i wykonanie robót dla zadania pn.: „Odcinek 1 – roboty budowlane na linii kolejowej nr 201 stacja Maksymilianowo” w ramach projektu “Prace na odcinku Maksymilianowo – Kościerzyna”.,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33709/details,PKP
"Zaprojektowanie i wykonanie robót dla zadania pn. „Poprawa bezpieczeństwa na wybranych przejazdach kolejowo-drogowych na terenie: IZ Częstochowa, IZ Kielce, IZ Kraków, IZ Nowy Sącz, IZ Opole, IZ Rzeszów, IZ Sosnowiec, IZ Tarnowskie Góry” w ramach przedsięwzięcia pn. „Poprawa bezpieczeństwa na przejazdach kolejowych - etap VII” realizowanego w ramach Krajowego Planu Odbudowy i Zwiększania Odporności (KPO).",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33575/details,PKP
"Zabudowa, wymiana urządzeń przejazdowych na sieci PKP PLK - IZ Tarnowskie Góry",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33626/details,PKP
Budowa miejsc parkingowych przy przystanku Kiekrz przy linii kolejowej nr 351 w ramach „Rządowego programu budowy lub modernizacji przystanków kolejowych na lata 2021-2025”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33898/details,PKP
Usługa sprzątania oraz utrzymywania czystości i porządku w pomieszczeniach wykonawczych komórek organizacyjnych PKP Polskie Linie Kolejowe S.A. Komendy Głównej Straży Ochrony Kolei.,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33525/details,PKP
"Zaprojektowanie i wykonanie robót dla zadania pn. ""Poprawa bezpieczeństwa na wybranych przejazdach kolejowo-drogowych na terenie: IZ Bydgoszcz, IZ Łódź, IZ Ostrów Wielkopolski, IZ Szczecin, IZ Warszawa, IZ Zielona Góra"" w ramach przedsięwzięcia pn. ""Poprawa bezpieczeństwa na przejazdach kolejowych - etap VII"" realizowanego w ramach Krajowego Planu Odbudowy i Zwiększania Odporności (KPO)",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33492/details,PKP
Pełnienie nadzoru inwestorskiego nad robotami budowlanymi w ramach projektu pn.: „Rewitalizacja odcinka Legnica – Złotoryja – Jerzmanice-Zdrój w celu włączenia Złotoryi oraz powiatu złotoryjskiego do sieci regionalnego wojewódzkiego transportu kolejowego” finansowanego z Programu Uzupełniania Lokalnej i Regionalnej Infrastruktury Kolejowej – Kolej + do 2029 roku,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33957/details,PKP
"Opracowanie dokumentacji projektowej i wykonanie robót budowlanych w ramach projektu "" Prace na linii kolejowej nr 132 na odcinku Pyskowice - Opole Groszowice""",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34050/details,PKP
Zaprojektowanie i wykonanie robót w ramach zadania pn. „Prace na linii kolejowej nr 355 Ostrów Wielkopolski - Grabowno Wielkie - Etap II” realizowanego w ramach Krajowego Planu Odbudowy,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33882/details,PKP
"Zarządzanie i sprawowanie nadzoru inwestorskiego nad realizacją zadnia pn.: ""Zaprojektowanie i wykonanie robót budowlanych na odcinku Gdynia Chylonia – Lębork linii kolejowej nr 202 w ramach projektu pn.: „Prace na linii kolejowej nr 202 na odcinku Gdynia Chylonia - Słupsk” - Faza II",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33958/details,PKP
"„Opracowanie projektu wykonawczego i wykonanie robót budowlanych - odcinek LOT-A1-1 Skarżysko Kamienna - Łączna (od km 142,820 do km 161,810)"" oraz „Opracowanie projektu wykonawczego i wykonanie robót budowlanych - odcinek LOT-A1-2 Łączna (bez stacji) - Tumlin, (od km 161,810 do km 175,001)”.",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34049/details,PKP
OPRACOWANIE DOKUMENTACJI PROJEKTOWEJ I WYKONANIE ROBÓT BUDOWLANYCH W RAMACH ZADANIA „PRACE NA LINII KOLEJOWEJ NR 144 NA ODCINKU FOSOWSKIE- OPOLE GŁÓWNE”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34039/details,PKP
Opracowanie dokumentacji projektowej i wykonanie robót budowlanych w ramach zadania „Prace na linii kolejowej nr 61 na odcinku Częstochowa Stradom- Fosowskie”,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34033/details,PKP
"Zarządzanie i sprawowanie nadzoru inżynierskiego nad opracowaniem dokumentacji projektowej dla realizacji budowy nowych podstacji trakcyjnych Tymbark, Fornale, Marszowice, Janowice i nowych kabin sekcyjnych Sawa, Surówki w ramach projektu pn.: „Budowa nowej linii kolejowej Podłęże – Szczyrzyc –Tymbark/Mszana Dolna oraz modernizacja istniejącej linii kolejowej nr 104 Chabówka – Nowy Sącz – Etap II""",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33988/details,PKP
„Wykonanie robót budowlanych w ramach zadania pn. „Rozbudowa infrastruktury kolejowej linii kolejowej nr 406 oraz budowa węzła/bocznicy kolejowej „Port Police” wraz z niezbędną infrastrukturą techniczną w ramach budowy linii kolejowej nr 437 do Portu Morskiego Police realizowanego w ramach projektu pn. „Utworzenie kolejowego dostępu do Portu Morskiego w Policach””,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33873/details,PKP
Zaprojektowanie i wykonanie robót dla zadania pn. Rewitalizacja linii kolejowej nr 108 na odcinku Jasło - Nowy Zagórz w ramach projektu pn. „Rewitalizacja linii kolejowej nr 108 na odcinku Jasło - Nowy Zagórz wraz z budową łącznicy kolejowej Jedlicze – Szebnie,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34067/details,PKP
Zaprojektowanie i wykonanie robót budowlanych na odcinku Gdynia Chylonia – Lębork linii kolejowej nr 202 w ramach projektu pn.: „Prace na linii kolejowej nr 202 na odcinku Gdynia Chylonia - Słupsk” – Faza II,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/33910/details,PKP
"Opracowanie projektu wykonawczego i wykonanie robót budowlanych w ramach projektu „Prace na liniach kolejowych nr 25, 74, 78 na odcinku Stalowa Wola -Tarnobrzeg - Sandomierz - Ocice - Padew”",https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34006/details,PKP
Zaprojektowanie (w zakresie branży srk) i kompleksowe wykonanie robót budowlanych na linii kolejowej nr 622 na odcinku H Szczyrzyc - Tymbark w ramach Projektu pn.: „Budowa nowej linii kolejowej Podłęże - Szczyrzyc - Tymbark/Mszana Dolna oraz modernizacja istniejącej linii kolejowej nr 104 Chabówka - Nowy Sącz - Etap II”.,https://platformazakupowa.plk-sa.pl/app/demand/notice/public/34005/details,PKP
"budowa i rozbiórka sieci elektroenergetycznej energa-operator sa na przedpolu o/tomisławice, strona wschodnia, etap ii",https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2068929/budowa-i-rozbiorka-sieci-elektroenergetycznej-energa-operator-sa-na-przedpolu-o-tomislawice-strona-wschodnia-etap-ii?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D3,ONEPLACE
przebudowa sieci kablowej 15kv w elektrociepłowni cieszyn,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2067625/przebudowa-sieci-kablowej-15kv-w-elektrocieplowni-cieszyn?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D3,ONEPLACE
zadanie 1. budowa stacji transformatorowej dla zasilania zespołu budynków jednorodzinnych w mysłowicach przy ul. kochanowskiego zadanie 1.1 - część oświetleniowa tnt,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2067620/zadanie-1-budowa-stacji-transformatorowej-dla-zasilania-zespolu-budynkow-jednorodzinnych-w-myslowicach-przy-ul-kochanowskiego?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D3,ONEPLACE
",,przyłączenie do sieci dystrybucyjnej: budowa przyłącza kablowego nn wraz ze złączem nn na obszarze kraków podgórze wschód-zachód: ul. gen. antoniego szylinga, nowickiego, 8 pułku ułanów, ks. trockiego – ss34/24‘’ tryb: zaprojektuj-wybuduj",https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2067615/-przylaczenie-do-sieci-dystrybucyjnej-budowa-przylacza-kablowego-nn-wraz-ze-zlaczem-nn-na-obszarze-krakow-podgorze?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D3,ONEPLACE
"świadczenie usług w zakresie awaryjnych napraw uszkodzonych elektronicznych urządzeń i podzespołów do systemów ssp, sot, eon, urządzeń zasilających, przetwornic, przetwornic sygnałowych, wkładek blokowych, prostowników oraz innych elementów elektronicznych wg. wykazu stanowiącego załącznik nr 1, zainstalowanych na terenie działania zakładu linii kolejowych w nowym sączu",https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2065862/swiadczenie-uslug-w-zakresie-awaryjnych-napraw-uszkodzonych-elektronicznych-urzadzen-i-podzespolow-do-systemow-ssp-sot-eon-?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D5,ONEPLACE
roboty budowlane i...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2062511/roboty-budowlane-i-modernizacyjne-polegajace-na-dostawie-i-montazu-dwoch-pomp-awaryjnych-z-instalacja-technologiczna-wraz-z?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D6,ONEPLACE
dobudowa pól wn w...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2062077/dobudowa-pol-wn-w-rozdzielni-110-kv-stacji-elektroenergetycznej-110-15-kv-skawina-huta-tryb-zaprojektuj-i-wybuduj?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D6,ONEPLACE
rozbudowa rozdzielni...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2051895/rozbudowa-rozdzielni-110-kv-w-stacji-elektroenergetycznej-110-15-kv-gpz-grodkow-w-celu-przylaczenia-magazynu-energii-stary?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D7,ONEPLACE
dobudowa pola 110 kv...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2051883/dobudowa-pola-110-kv-w-stacji-110-20-kv-gpz-r-16-oborniki-slaskie?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D8,ONEPLACE
budowa linii zasilających...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2051878/budowa-linii-zasilajacych-110-kv-dla-gpz-czechowice-zachod?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D8,ONEPLACE
zaprojektowanie i budowa...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2050986/zaprojektowanie-i-budowa-farmy-wiatrowej-o-mocy-lacznej-min-47-5-kwp?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D8,ONEPLACE
budowa linii kablowej...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2050180/budowa-linii-kablowej-110kv-sk-08-wraz-z-linia-swiatlowodowa-pomiedzy-r-142-gpz-wieczysta-r-180-gpz-mennicza?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D8,ONEPLACE
"rozbudowa, przebudowa...",https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2045062/rozbudowa-przebudowa-i-remont-zabytkowej-plebani-z-adaptacja-na-centrum-integracji-miedzypokoleniowej?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D8,ONEPLACE
przebudowa mostu...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2039087/przebudowa-mostu-przenosnikowego-ob-154a-na-terenie-grupy-azoty-zaklady-chemiczne-police-s-a?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D9,ONEPLACE
budowa rozdzielni...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2001596/budowa-rozdzielni-20kv-w-se-220-110kv-bierun?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D9,ONEPLACE
budowa akumulatora...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/1892653/budowa-akumulatora-ciepla-i-pompowni-oraz-budowa-kotla-elektrodowego-i-wymiennikowni-w-ec4-w-lodzi-?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D9,ONEPLACE
świadczenie usług w...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2069887/swiadczenie-uslug-w-zakresie-objecia-nadzorem-autorskim-oprogramowania-aplikacyjnego-amms-infomedica-plus-w-szpitalu?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D10,ONEPLACE
budowa instalacji...,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2065043/budowa-instalacji-fotowoltaicznej-o-mocy-ok-400kwp-na-oczyszczalni-sciekow-karkoszka-ii-w-wodzislawiu-slaskim-oraz-instalacji?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D10,ONEPLACE
budowa zbiornika na poferment,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2063446/budowa-zbiornika-na-poferment?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D11,ONEPLACE
przebudowa budynku użyteczności publicznej w miejscowości wąsosze,https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2061208/przebudowa-budynku-uzytecznosci-publicznej-w-miejscowosci-wasosze?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D12,ONEPLACE
"przebudowa, rozbudowa i...",https://oneplace.marketplanet.pl/zapytania-ofertowe-przetargi/-/rfp/view/2055523/przebudowa-rozbudowa-i-nadbudowa-budynku-zespolu-szkol-i-placowek-oswiatowych-wojewodztwa-lodzkiego-w-lodzi?_7_WAR_organizationnoticeportlet_redirect=https%3A%2F%2Foneplace.marketplanet.pl%3A443%2Fzapytania-ofertowe-przetargi%2F-%2Frfp%2Fcat%2F11035%2Felektroenergetyka%3F_7_WAR_organizationnoticeportlet_cur%3D12,ONEPLACE
